id,artist_name,key,mode,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,hit,year,explicit,sentimentPos,sentimentNeg,sentimentComp,sentimentNeu,pos_neg_diff
03im5RVAscd1YqLtiQxTZa,Vicente Fernández,4.0,0.0,Amor Eterno,40,0.326,0.4920000000000001,288800.0,0.443,1.05e-05,0.152,-6.252999999999999,0.0268,86.15299999999998,0.397,0,2002,0.0,0.057,0.0,0.6124,0.943,0.057
55xnB435duScUVA629QbeH,VeggieTales,11.0,0.0,"In The Belly Of A Whale - From ""Jonah: A VeggieTales Movie"" Soundtrack",38,0.00126,0.654,184360.0,0.8140000000000001,0.0,0.0989,-5.895,0.0283,100.991,0.621,0,2002,0.0,0.062,0.165,-0.8377,0.772,-0.10300000000000001
1jGa3ZVWNhqes22ZoVBfOJ,Buck Owens,9.0,1.0,My Heart Skips A Beat,52,0.285,0.609,148320.0,0.569,0.0,0.0586,-6.359,0.0371,86.583,0.787,0,2010,0.0,0.369,0.0,0.9466,0.631,0.369
3DgNj1aYbSRVoVO8yX7DRt,Beck,3.0,1.0,Girl,51,0.0549,0.685,209893.0,0.677,0.0033200000000000005,0.285,-6.5520000000000005,0.11,149.421,0.855,0,2005,0.0,0.067,0.223,-0.8957,0.71,-0.156
2R5uY1gbIKzGB1yAOH067s,Daughtry,3.0,1.0,Over You,57,0.0174,0.425,204661.0,0.922,0.0,0.104,-2.6,0.0412,156.045,0.564,0,2006,0.0,0.243,0.035,0.951,0.722,0.208
52erNkfUKv34u02CjcHOPj,Randy Travis,4.0,1.0,If I Didn't Have You,58,0.16399999999999998,0.674,186747.0,0.578,0.0,0.103,-10.919,0.0663,172.498,0.961,0,2015,0.0,0.226,0.105,0.802,0.669,0.12100000000000001
20F3FcES8KU4kffMCkFgNN,Thievery Corporation,4.0,0.0,Until The Morning,54,0.191,0.6,236960.0,0.4320000000000001,0.0462,0.114,-9.674,0.0499,71.975,0.275,0,2002,0.0,0.185,0.194,-0.3632,0.621,-0.009000000000000008
3hAaCXvutknQugsPFogh8H,Marcy Playground,11.0,0.0,Sex And Candy,59,0.046,0.55,172486.0,0.7020000000000001,1.4e-06,0.119,-5.693,0.0281,159.968,0.515,0,2012,1.0,0.326,0.0,0.8779,0.674,0.326
0TAmnCzOtqRfvA38DDLTjj,One Direction,7.0,1.0,Little Things,78,0.8109999999999999,0.7090000000000001,219040.0,0.22,0.0,0.175,-11.856,0.0327,110.076,0.53,0,2012,0.0,0.268,0.102,0.8836,0.63,0.16600000000000004
4RUypgnS4gcvyFmqCibjgc,Bowling For Soup,0.0,1.0,Dance with You,17,0.000538,0.536,209566.0,0.893,2.5e-05,0.211,-5.222,0.0598,154.099,0.841,0,2015,0.0,0.06,0.048,0.128,0.892,0.011999999999999997
