,id,artist_name,key,mode,track_name,rel_date,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
102,0ARK753YaiJbpLUk7z5yIM,Nelly,2.0,0.0,Dilemma,2002-06-25,80,0.227,0.727,289160.0,0.552,0.000164,0.198,-8.074,0.14,168.189,0.607
103,5QpaGzWp0hwB5faV8dkbAz,The Calling,2.0,1.0,Wherever You Will Go,2001,75,0.0367,0.558,208600.0,0.719,0.0,0.115,-5.113,0.0267,112.027,0.371
104,4w1lzcaoZ1IC2K5TwjalRP,Vanessa Carlton,11.0,1.0,A Thousand Miles,2002-04-30,78,0.323,0.56,237493.0,0.825,0.0,0.161,-3.862,0.0379,94.931,0.268
105,60a0Rd6pjrkxjPbaKzXjfq,Linkin Park,3.0,0.0,In the End,2000-10-24,86,0.00958,0.556,216880.0,0.864,0.0,0.209,-5.87,0.0584,105.143,0.4
106,2mKouqwAIdQnMP43zxR89r,Fat Joe,8.0,1.0,What's Luv? (feat. Ja-Rule & Ashanti),2001-12-04,75,0.0219,0.835,267093.0,0.707,2.19e-05,0.108,-5.074,0.0598,93.955,0.919
107,7J41dYQolQJEtj3UmKLu5r,Usher,1.0,1.0,U Got It Bad,2001-08-07,72,0.0227,0.816,247840.0,0.5,1.53e-06,0.0733,-4.551,0.03,124.037,0.649
108,6lSr3iZTC144PKhvbPFzMp,Puddle Of Mudd,3.0,0.0,Blurry,2001-01-01,68,0.00805,0.431,304000.0,0.938,0.0,0.138,-4.507,0.0542,157.462,0.523
109,5xEM5hIgJ1jjgcEBfpkt2F,Avril Lavigne,5.0,1.0,Complicated,2002-06-04,81,0.0572,0.585,244507.0,0.776,7.74e-06,0.3,-5.898,0.0459,77.987,0.427
110,4hrae8atte6cRlSC9a7VCO,Ja Rule,5.0,0.0,Always On Time,2001-01-01,75,0.208,0.839,245133.0,0.706,0.0,0.242,-6.104,0.199,96.673,0.839
111,5ahFyKndeg1hqfmNumL3WF,Jennifer Lopez,8.0,1.0,Ain't It Funny (feat. Ja Rule & Cadillac Tah) - Murder Remix,2002-02-05,61,0.364,0.781,229800.0,0.746,0.0,0.098,-2.686,0.17,89.43,0.786
112,6GG73Jik4jUlQCkKg9JuGO,Jimmy Eat World,2.0,1.0,The Middle,2001-07-17,81,0.0371,0.643,165853.0,0.849,0.0,0.058,-5.428,0.0526,162.152,0.903
113,6vroxijAehdYAUvigML2Ds,Party Tyme Karaoke,8.0,1.0,I Need A Girl (Pt. 2) [Made Popular By P. Diddy & Ginuwine] [Karaoke Version],2018-09-07,12,0.0667,0.933,286003.0,0.339,1.74e-05,0.0375,-10.035,0.0794,100.037,0.551
114,5PCJldueshnwqQVjS16543,Usher,1.0,1.0,U Don't Have to Call,2001-08-07,62,0.0478,0.793,269400.0,0.568,3.57e-05,0.0304,-4.958,0.0459,100.005,0.806
115,3aw9iWUQ3VrPQltgwvN9Xu,Mary J. Blige,8.0,0.0,Family Affair,2001-01-01,76,0.132,0.911,265867.0,0.551,4.12e-05,0.0863,-3.75,0.0449,92.887,0.969
116,7gnucx1zXQlcLOFS3T6LR5,The Karaoke Channel,6.0,0.0,I Need a Girl (Part Two),2014-11-17,19,0.567,0.922,303978.0,0.417,0.0,0.0388,-8.988,0.269,100.004,0.888
117,0WgLpgUdThEpA5L5K0SKq7,Eve,1.0,0.0,Gangsta Lovin',2002-01-01,62,0.0619,0.723,239267.0,0.84,0.0,0.0945,-3.523,0.0608,94.332,0.827
118,2VSbEXqs6NbNiZSTcHlIDR,Creed,2.0,1.0,My Sacrifice,2001-01-01,73,0.000101,0.32,294600.0,0.88,4.31e-06,0.076,-6.035,0.0504,146.349,0.257
119,7lQ8MOhq6IN2w8EYcFNSUk,Eminem,7.0,1.0,Without Me,2002-05-26,88,0.00286,0.908,290320.0,0.669,0.0,0.237,-2.827,0.0738,112.238,0.662
120,24Gxm7Eh7tO83E26LG0CsY,Enrique Iglesias,7.0,1.0,Hero,2001-01-01,63,0.143,0.581,264600.0,0.651,1.05e-05,0.107,-5.617,0.0392,151.959,0.146
121,0kr6d8wHDQPlzuET33NVn6,Michelle Branch,8.0,1.0,All You Wanted,2001-07-31,63,0.00466,0.499,217680.0,0.72,0.00303,0.122,-9.101,0.0286,96.103,0.652
122,5PQfUieu3s08ojWER0HklM,Various Artists,7.0,1.0,Get The Party Started - P!nk Noise Disco - Edit,2005-05-03,23,3.93e-05,0.701,223493.0,0.746,0.289,0.204,-5.428,0.0377,128.52,0.636
123,779ooI3rBd0CLqCiiJmtVo,Chad Kroeger,4.0,1.0,Hero (feat. Josey Scott),2003,68,0.00216,0.427,200480.0,0.843,0.0,0.179,-4.54,0.0364,147.387,0.304
124,5dpAN1mjFPL38kh9kWsCiw,Default,2.0,1.0,Wasting My Time,2001,62,0.00171,0.449,269307.0,0.776,0.0,0.0698,-5.594,0.0322,148.11,0.198
125,42T2QQv3xgBlpQxaSP7lnK,Creed,2.0,1.0,One Last Breath,2001-01-01,72,0.00841,0.386,238240.0,0.677,0.00366,0.341,-5.83,0.0346,126.602,0.195
126,2lnzGkdtDj5mtlcOW2yRtG,Shakira,1.0,0.0,"Whenever, Wherever",2001-11-13,76,0.237,0.794,196160.0,0.832,1.14e-05,0.203,-4.862,0.0407,107.657,0.871
127,2UbFyKS0gTj9NcGLO4NpyZ,Jennifer Lopez,10.0,0.0,I'm Gonna Be Alright - Track Masters Remix,2002-02-05,44,0.0573,0.843,200200.0,0.612,0.000305,0.154,-4.71,0.157,93.975,0.791
